No, Length, Seq, Win, Len
5783, 19034, 7241601, 29200, 18980
5794, 2974, 7260581, 29200, 2920
5812, 10274, 7263501, 29200, 10220
5813, 24874, 7273721, 29200, 24820
5814, 7354, 7298541, 29200, 7300
5821, 16114, 7305841, 29200, 16060
5833, 16114, 7321901, 29200, 16060
5869, 54, 7337960, 29200, 0
5870, 54, 7337960, 29200, 0
5873, 26334, 7337961, 29200, 26280
5880, 5894, 7364241, 29200, 5840
5885, 11734, 7370081, 29200, 11680
5890, 11734, 7381761, 29200, 11680
5894, 8814, 7393441, 29200, 8760
5903, 4434, 7402201, 29200, 4380
5925, 1514, 7405121, 29200, 1460
5928, 54, 7406580, 29200, 0
5930, 1514, 7406581, 29200, 1460
5931, 1514, 7408041, 29200, 1460
5933, 24874, 7409501, 29200, 24820
5934, 26334, 7434321, 29200, 26280
5939, 5894, 7460601, 29200, 5840
5957, 4434, 7466441, 29200, 4380
5980, 27794, 7470821, 29200, 27740
5981, 26334, 7498561, 29200, 26280
5986, 5894, 7524841, 29200, 5840
6000, 19034, 7530681, 29200, 18980
6009, 13194, 7549661, 29200, 13140
6033, 11734, 7562801, 29200, 11680
6057, 1514, 7573021, 29200, 1460
6060, 54, 7574480, 29200, 0
6062, 1514, 7574481, 29200, 1460
6063, 1514, 7575941, 29200, 1460
6065, 17574, 7577401, 29200, 17520
6066, 29254, 7594921, 29200, 29200
6067, 2974, 7624121, 29200, 2920
6068, 8814, 7627041, 29200, 8760
6108, 1514, 7635801, 29200, 1460
6113, 21954, 7637261, 29200, 21900
6114, 30714, 7659161, 29200, 30660
6115, 1514, 7689821, 29200, 1460
6124, 14654, 7691281, 29200, 14600
6163, 1514, 7704421, 29200, 1460
6166, 54, 7705880, 29200, 0
6168, 1514, 7705881, 29200, 1460
6169, 1514, 7707341, 29200, 1460
6171, 14654, 7708801, 29200, 14600
6172, 30714, 7723401, 29200, 30660
6173, 1514, 7754061, 29200, 1460
6175, 14654, 7755521, 29200, 14600
6195, 17574, 7770121, 29200, 17520
6202, 21954, 7787641, 29200, 21900
6210, 10274, 7809541, 29200, 10220
6226, 21954, 7819761, 29200, 21900
6234, 10274, 7841661, 29200, 10220
6250, 21954, 7851881, 29200, 21900
6258, 10274, 7873781, 29200, 10220
6279, 17574, 7884001, 29200, 17520
6316, 14654, 7901521, 29200, 14600
6317, 32174, 7916121, 29200, 32120
6329, 16114, 7948241, 29200, 16060
6363, 54, 7964300, 29200, 0
6364, 54, 7964300, 29200, 0
6366, 54, 7964300, 29200, 0
6369, 13194, 7964301, 29200, 13140
6371, 2974, 7977441, 29200, 2920
6373, 4434, 7980361, 29200, 4380
6376, 5894, 7984741, 29200, 5840
6380, 8814, 7990581, 29200, 8760
6388, 11734, 7999341, 29200, 11680
6393, 1514, 8011021, 29200, 1460
6395, 13194, 8012481, 29200, 13140
6420, 19034, 8025621, 29200, 18980
6421, 24874, 8044601, 29200, 24820
6422, 7354, 8069421, 29200, 7300
6440, 10274, 8076721, 29200, 10220
6466, 54, 8086940, 29200, 0
6467, 54, 8086940, 29200, 0
6470, 5894, 8086941, 29200, 5840
6471, 5894, 8092781, 29200, 5840
6473, 2974, 8098621, 29200, 2920
6474, 2974, 8101541, 29200, 2920
6481, 2974, 8104461, 29200, 2920
6482, 1514, 8107381, 29200, 1460
6483, 5894, 8108841, 29200, 5840
6484, 5894, 8114681, 29200, 5840
6492, 7354, 8120521, 29200, 7300
6493, 13194, 8127821, 29200, 13140
6516, 8814, 8140961, 29200, 8760
6525, 23414, 8149721, 29200, 23360
6526, 27794, 8173081, 29200, 27740
6527, 4434, 8200821, 29200, 4380
6539, 14654, 8205201, 29200, 14600
6577, 54, 8219800, 29200, 0
6578, 54, 8219800, 29200, 0
6581, 4434, 8219801, 29200, 4380
6582, 4434, 8224181, 29200, 4380
6584, 2974, 8228561, 29200, 2920
6585, 1514, 8231481, 29200, 1460
6586, 2974, 8232941, 29200, 2920
6595, 1514, 8235861, 29200, 1460
6596, 5894, 8237321, 29200, 5840
6597, 5894, 8243161, 29200, 5840
6601, 5894, 8249001, 29200, 5840
6602, 11734, 8254841, 29200, 11680
6607, 2974, 8266521, 29200, 2920
6609, 14654, 8269441, 29200, 14600
6635, 1514, 8284041, 29200, 1460
6640, 16114, 8285501, 29200, 16060
6641, 29254, 8301561, 29200, 29200
6642, 2974, 8330761, 29200, 2920
6650, 20494, 8333681, 29200, 20440
6679, 5894, 8354121, 29200, 5840
6695, 1514, 8358501, 29200, 1460
6698, 54, 8359960, 29200, 0
6700, 1514, 8359961, 29200, 1460
6701, 1514, 8361421, 29200, 1460
6703, 2974, 8362881, 29200, 2920
6704, 32174, 8365801, 29200, 32120
6705, 27794, 8397921, 29200, 27740
6750, 4434, 8425661, 29200, 4380
6751, 32174, 8430041, 29200, 32120
6752, 26334, 8462161, 29200, 26280
6757, 5894, 8488441, 29200, 5840
6773, 17574, 8494281, 29200, 17520
6815, 54, 8511800, 29200, 0
6816, 54, 8511800, 29200, 0
6818, 54, 8511800, 29200, 0
6821, 11734, 8511801, 29200, 11680
6822, 2974, 8523481, 29200, 2920
6824, 2974, 8526401, 29200, 2920
6826, 2974, 8529321, 29200, 2920
6829, 5894, 8532241, 29200, 5840
6833, 8814, 8538081, 29200, 8760
6838, 11734, 8546841, 29200, 11680
6842, 8814, 8558521, 29200, 8760
6848, 14654, 8567281, 29200, 14600
6852, 8814, 8581881, 29200, 8760
6861, 19034, 8590641, 29200, 18980
6870, 13194, 8609621, 29200, 13140
6883, 20494, 8622761, 29200, 20440
6892, 11734, 8643201, 29200, 11680
6905, 20494, 8654881, 29200, 20440
6914, 11734, 8675321, 29200, 11680
6929, 21954, 8687001, 29200, 21900
6951, 10274, 8708901, 29200, 10220
6969, 8814, 8719121, 29200, 8760
6988, 23414, 8727881, 29200, 23360
6989, 32174, 8751241, 29200, 32120
7008, 5894, 8783361, 29200, 5840
7033, 1514, 8787741, 29200, 1460
7036, 54, 8789200, 29200, 0
7038, 1514, 8789201, 29200, 1460
7039, 1514, 8790661, 29200, 1460
7041, 23414, 8792121, 29200, 23360
7042, 32174, 8815481, 29200, 32120
7046, 4434, 8847601, 29200, 4380
7086, 27794, 8851981, 29200, 27740
7087, 32174, 8879721, 29200, 32120
7093, 1514, 8911841, 29200, 1460
7131, 1514, 8911841, 29200, 1460
7134, 54, 8913300, 29200, 0
7136, 1514, 8913301, 29200, 1460
7137, 1514, 8914761, 29200, 1460
7139, 27794, 8916221, 29200, 27740
7140, 30714, 8943961, 29200, 30660
7182, 1514, 8974621, 29200, 1460
7183, 32174, 8976081, 29200, 32120
7184, 29254, 9008201, 29200, 29200
7229, 54, 9037400, 29200, 0
7230, 54, 9037400, 29200, 0
7233, 2974, 9037401, 29200, 2920
7234, 7354, 9040321, 29200, 7300
7236, 7354, 9047621, 29200, 7300
7240, 8814, 9054921, 29200, 8760
7244, 8814, 9063681, 29200, 8760
7249, 11734, 9072441, 29200, 11680
7255, 14654, 9084121, 29200, 14600
7260, 1514, 9098721, 29200, 1460
7284, 4434, 9100181, 29200, 4380
7285, 21954, 9104561, 29200, 21900
7286, 10274, 9126461, 29200, 10220
7293, 16114, 9136681, 29200, 16060
7305, 16114, 9152741, 29200, 16060
7326, 2974, 9168801, 29200, 2920
7340, 54, 9171720, 29200, 0
7341, 54, 9171720, 29200, 0
7344, 23414, 9171721, 29200, 23360
7350, 5894, 9195081, 29200, 5840
7354, 8814, 9200921, 29200, 8760
7356, 1514, 9209681, 29200, 1460
7362, 13194, 9211141, 29200, 13140
7366, 8814, 9224281, 29200, 8760
7373, 14654, 9233041, 29200, 14600
7384, 16114, 9247641, 29200, 16060
7386, 1514, 9263701, 29200, 1460
7398, 16114, 9265161, 29200, 16060
7409, 16114, 9281221, 29200, 16060
7421, 16114, 9297281, 29200, 16060
7432, 16114, 9313341, 29200, 16060
7444, 16114, 9329401, 29200, 16060
7455, 16114, 9345461, 29200, 16060
7468, 19034, 9361521, 29200, 18980
7486, 13194, 9380501, 29200, 13140
7491, 19034, 9393641, 29200, 18980
7501, 13194, 9412621, 29200, 13140
7514, 19034, 9425761, 29200, 18980
7548, 2974, 9444741, 29200, 2920
7556, 10274, 9447661, 29200, 10220
7557, 27794, 9457881, 29200, 27740
7558, 4434, 9485621, 29200, 4380
7562, 19034, 9490001, 29200, 18980
7572, 13194, 9508981, 29200, 13140
7591, 5894, 9522121, 29200, 5840
7617, 26334, 9527961, 29200, 26280
7618, 17574, 9554241, 29200, 17520
7649, 1514, 9570301, 29200, 1460
7652, 54, 9571760, 29200, 0
7654, 1514, 9571761, 29200, 1460
7655, 1514, 9573221, 29200, 1460
7657, 11734, 9574681, 29200, 11680
7658, 29254, 9586361, 29200, 29200
7659, 2974, 9615561, 29200, 2920
7660, 2974, 9618481, 29200, 2920
7665, 17574, 9621401, 29200, 17520
7675, 11734, 9638921, 29200, 11680
7689, 20494, 9650601, 29200, 20440
7698, 11734, 9671041, 29200, 11680
7713, 21954, 9682721, 29200, 21900
7721, 10274, 9704621, 29200, 10220
7752, 5894, 9714841, 29200, 5840
7770, 26334, 9720681, 29200, 26280
7771, 32174, 9746961, 29200, 32120
7793, 14654, 9779081, 29200, 14600
7823, 1514, 9792221, 29200, 1460
7826, 54, 9793680, 29200, 0
7828, 1514, 9793681, 29200, 1460
7829, 1514, 9795141, 29200, 1460
7831, 14654, 9796601, 29200, 14600
7832, 32174, 9811201, 29200, 32120
7833, 16114, 9843321, 29200, 16060
7878, 16114, 9859381, 29200, 16060
7879, 32174, 9875441, 29200, 32120
7881, 14654, 9907561, 29200, 14600
7897, 1514, 9922161, 29200, 1460
7926, 1514, 9922161, 29200, 1460
7929, 54, 9923620, 29200, 0
7931, 1514, 9923621, 29200, 1460
7932, 1514, 9925081, 29200, 1460
7934, 13194, 9926541, 29200, 13140
7935, 32174, 9939681, 29200, 32120
7937, 14654, 9971801, 29200, 14600
7979, 17574, 9986401, 29200, 17520
7980, 32174, 10003921, 29200, 32120
7990, 19034, 10036041, 29200, 18980
8030, 54, 10055020, 29200, 0
8031, 54, 10055020, 29200, 0
8034, 13194, 10055021, 29200, 13140
8037, 7354, 10068161, 29200, 7300
8041, 8814, 10075461, 29200, 8760
8045, 8814, 10084221, 29200, 8760
8049, 7354, 10092981, 29200, 7300
8054, 13194, 10100281, 29200, 13140
8060, 14654, 10113421, 29200, 14600
8063, 4434, 10128021, 29200, 4380
8073, 17574, 10132401, 29200, 17520
8082, 11734, 10149921, 29200, 11680
8085, 2974, 10161601, 29200, 2920
8097, 17574, 10164521, 29200, 17520
8108, 14654, 10182041, 29200, 14600
8120, 17574, 10196641, 29200, 17520
8131, 14654, 10214161, 29200, 14600
8144, 19034, 10228761, 29200, 18980
8154, 13194, 10247741, 29200, 13140
8167, 19034, 10260881, 29200, 18980
8177, 13194, 10279861, 29200, 13140
8192, 17574, 10293001, 29200, 17520
8228, 1514, 10309061, 29200, 1460
8231, 54, 10310520, 29200, 0
8233, 1514, 10310521, 29200, 1460
8234, 1514, 10311981, 29200, 1460
8236, 11734, 10313441, 29200, 11680
8237, 29254, 10325121, 29200, 29200
8238, 2974, 10354321, 29200, 2920
8239, 14654, 10357241, 29200, 14600
8252, 17574, 10371841, 29200, 17520
8277, 1514, 10389361, 29200, 1460
8296, 30714, 10390821, 29200, 30660
8297, 30714, 10421481, 29200, 30660
8299, 1514, 10452141, 29200, 1460
8339, 2974, 10453601, 29200, 2920
8346, 54, 10456520, 29200, 0
8347, 54, 10456520, 29200, 0
8349, 54, 10456520, 29200, 0
8352, 29254, 10456521, 29200, 29200
8353, 94, 10485721, 29200, 40
8376, 54, 10485762, 29200, 0
