No, Length, Seq, Win, Len
1534, 17574, 1953481, 29200, 17520
1535, 2974, 1971001, 29200, 2920
1536, 14654, 1973921, 29200, 14600
1560, 1514, 1987061, 29200, 1460
1564, 1514, 1988521, 29200, 1460
1565, 1514, 1989981, 29200, 1460
1567, 14654, 1991441, 29200, 14600
1568, 17574, 2006041, 29200, 17520
1569, 2974, 2023561, 29200, 2920
1578, 11734, 2026481, 29200, 11680
1588, 13194, 2038161, 29200, 13140
1597, 13194, 2051301, 29200, 13140
1624, 5894, 2064441, 29200, 5840
1625, 19034, 2070281, 29200, 18980
1627, 11734, 2089261, 29200, 11680
1654, 1514, 2100941, 29200, 1460
1655, 13194, 2102401, 29200, 13140
1656, 13194, 2115541, 29200, 13140
1658, 5894, 2128681, 29200, 5840
1679, 1514, 2134521, 29200, 1460
1683, 54, 2135980, 29200, 0
1684, 54, 2135980, 29200, 0
1687, 19034, 2135981, 29200, 18980
1691, 2974, 2154961, 29200, 2920
1695, 7354, 2157881, 29200, 7300
1697, 1514, 2165181, 29200, 1460
1701, 10274, 2166641, 29200, 10220
1707, 11734, 2176861, 29200, 11680
1711, 4434, 2188541, 29200, 4380
1715, 5894, 2192921, 29200, 5840
1723, 11734, 2198761, 29200, 11680
1732, 11734, 2210441, 29200, 11680
1738, 8814, 2222121, 29200, 8760
1741, 2974, 2230881, 29200, 2920
1752, 13194, 2233801, 29200, 13140
1761, 13194, 2246941, 29200, 13140
1764, 2974, 2260081, 29200, 2920
1774, 13194, 2263001, 29200, 13140
1784, 14654, 2276141, 29200, 14600
1788, 4434, 2290741, 29200, 4380
1798, 13194, 2295121, 29200, 13140
1808, 14654, 2308261, 29200, 14600
1812, 4434, 2322861, 29200, 4380
1823, 14654, 2327241, 29200, 14600
1839, 14654, 2341841, 29200, 14600
1840, 2974, 2356441, 29200, 2920
1847, 14654, 2359361, 29200, 14600
1857, 14654, 2373961, 29200, 14600
1860, 2974, 2388561, 29200, 2920
1871, 14654, 2391481, 29200, 14600
1900, 1514, 2406081, 29200, 1460
1905, 16114, 2407541, 29200, 16060
1906, 21954, 2423601, 29200, 21900
1908, 10274, 2445501, 29200, 10220
1920, 16114, 2455721, 29200, 16060
1931, 16114, 2471781, 29200, 16060
1947, 11734, 2487841, 29200, 11680
1974, 54, 2499520, 29200, 0
1975, 54, 2499520, 29200, 0
1978, 7354, 2499521, 29200, 7300
1979, 7354, 2506821, 29200, 7300
